symbol,timestamp,strike,expiry,put_option_type,put_days_to_expiry,put_identifier,put_open_interest,put_change_in_oi,put_p_change_in_oi,put_total_traded_volume,put_nse_implied_volatility,put_price,put_price_change,put_p_price_change,put_total_buy_qty,put_total_sell_qty,put_bid_qty,put_bid_price,put_ask_qty,put_ask_price,put_spot_price,call_option_type,call_days_to_expiry,call_identifier,call_open_interest,call_change_in_oi,call_p_change_in_oi,call_total_traded_volume,call_nse_implied_volatility,call_price,call_price_change,call_p_price_change,call_total_buy_qty,call_total_sell_qty,call_bid_qty,call_bid_price,call_ask_qty,call_ask_price,call_spot_price,forward,moneyness,f_minus_k,otm_option_type,close_option,days_to_expiry,rf_rate,implied_volatility,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2023-01-10 14:07:00,13000.0,2023-03-29 15:30:00,PE,78.05763888888889,OPTIDXNIFTY29-03-2023PE13000.00,8695.0,14,0.16127174288676419,75,30.25,5.4,0.5500000000000007,11.340206185567025,21750,83900,50,4.9,100,5.4,17911.5,CE,78.05763888888889,OPTIDXNIFTY29-03-2023CE13000.00,10873.0,-23,-0.21108663729809105,50,0.0,4980.0,-174.05000000000018,-3.3769559860692113,2800,2950,250,4997.35,50,5027.1,17914.25,18128.35,0.332528,5128.3499999999985,PE,5.4,78.05763888888889,0.05537635857757162,0.2976138277060139,2.4849067685268382,2.3472763664930265,-0.0064029895711373245,7.2088e-06,-0.2909,1.5078,-25.978395087977702,-0.001418553,-0.0984,29.5512
NIFTY,2023-01-10 14:07:00,14000.0,2023-03-29 15:30:00,PE,78.05763888888889,OPTIDXNIFTY29-03-2023PE14000.00,2157.0,74,3.552568410945751,160,27.57,12.85,-0.20000000000000107,-1.5325670498084372,6100,6400,50,12.55,50,13.2,17914.25,CE,78.05763888888889,OPTIDXNIFTY29-03-2023CE14000.00,330.0,1,0.303951367781155,2,0.0,4006.0,29.15000000000009,0.7329921923130139,2650,3450,500,4023.7,50,4071.7,17914.25,18128.35,0.25842,4128.3499999999985,PE,12.85,78.05763888888889,0.05537635857757162,0.2671436407694275,2.153566489536616,2.030026911542977,-0.015453000734769332,1.73183e-05,-0.563,3.2515,-62.65703398542521,-0.0029473235,-0.1832,53.2115
NIFTY,2023-01-10 14:07:00,15000.0,2023-03-29 15:30:00,PE,78.05763888888889,OPTIDXNIFTY29-03-2023PE15000.00,6408.0,70,1.104449353108236,1251,23.0,20.05,-1.25,-5.868544600938967,26000,18450,50,20.15,200,20.6,17914.25,CE,78.05763888888889,OPTIDXNIFTY29-03-2023CE15000.00,2563.0,10,0.39169604386995693,96,0.0,3040.0,-185.0,-5.736434108527131,4250,3000,500,3060.3,50,3084.25,17914.25,18128.35,0.189427,3128.3499999999985,PE,20.05,78.05763888888889,0.05537635857757162,0.21971374999551527,1.91513353808467,1.813527735769228,-0.02741118840982232,3.4202e-05,-0.7521,5.2814,-110.55738064838738,-0.0051999001,-0.2656,83.486
NIFTY,2023-01-10 14:07:00,15000.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE15000.00,10549.0,-159,-1.4848711243929773,624,35.77,2.35,0.20000000000000018,9.302325581395356,69400,97750,250,2.35,900,2.55,17914.25,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE15000.00,10733.0,-46,-0.4267557287317933,244,0.0,2950.15,-200.44999999999982,-6.3622802005967065,5950,6500,200,2965.25,300,2975.95,17911.5,17984.95,0.181485,2984.9500000000007,PE,2.35,15.057638888888889,0.09757881885734081,0.35692026758226775,2.5396903343114516,2.467196141838146,-0.005525246132594859,1.21156e-05,-0.6866,0.577,-4.196399016413064,-0.0010919147,-0.4718,10.13
NIFTY,2023-01-10 14:07:00,15500.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE15500.00,5663.0,-25,-0.43952180028129395,361,30.08,2.35,0.25,11.904761904761903,46050,58700,2500,2.3,50,2.4,17914.25,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE15500.00,2883.0,-13,-0.4488950276243094,60,0.0,2467.95,-182.5,-6.885623196061047,5600,7250,50,2462.0,50,2467.95,17914.25,17984.95,0.148695,2484.9500000000007,PE,2.35,15.057638888888889,0.09391822071254033,0.2986846298803763,2.48138359273149,2.4207176597094175,-0.006518368165708588,1.67626e-05,-0.6652,0.6681,-4.933234333294736,-0.0014822643,-0.536,13.4357
NIFTY,2023-01-10 14:07:00,16000.0,2023-12-28 15:30:00,PE,352.0576388888889,OPTIDXNIFTY28-12-2023PE16000.00,4776.0,48,1.015228426395939,264,21.44,288.0,19.69999999999999,7.342527021990305,7350,4350,50,289.8,500,292.85,17914.25,CE,352.0576388888889,OPTIDXNIFTY28-12-2023CE16000.00,515.0,1,0.19455252918287938,2,0.0,2744.85,-187.5999999999999,-6.397381029514566,1800,1900,50,2738.25,50,2771.25,17914.25,18700.2,0.155945,2700.2000000000007,PE,288.0,352.0576388888889,0.04448462362542423,0.17647915409030945,0.9864050592675739,0.8130829892742814,-0.15516460634516388,7.24924e-05,-1.129,43.1518,-3076.4352318312062,-0.0108251512,-0.0921,196.1083
NIFTY,2023-01-10 14:07:00,16000.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE16000.00,17497.0,85,0.4881690787962325,2584,25.63,3.75,0.3999999999999999,11.940298507462684,92850,65900,4000,3.75,50,3.8,17911.5,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE16000.00,6181.0,-121,-1.9200253887654712,249,0.0,1987.4,-176.9000000000001,-8.1735434089544,7400,9600,600,1973.55,50,1986.2,17914.25,17984.95,0.116947,1984.9500000000007,PE,3.75,15.057638888888889,0.09391822071254033,0.25619157724647823,2.273470754241265,2.221435599060101,-0.011454447134909182,3.20375e-05,-0.9353,1.0952,-8.653294974251802,-0.0025997645,-0.8062,21.5906
NIFTY,2023-01-10 14:07:00,16000.0,2023-03-29 15:30:00,PE,78.05763888888889,OPTIDXNIFTY29-03-2023PE16000.00,14959.0,158,1.0674954394973313,2919,20.22,53.9,9.25,20.716685330347147,39150,16850,50,53.8,200,54.0,17914.25,CE,78.05763888888889,OPTIDXNIFTY29-03-2023CE16000.00,628.0,32,5.369127516778524,105,0.0,2116.45,-147.4000000000001,-6.511032091348813,4950,3750,50,2117.6,100,2145.85,17911.5,18128.35,0.124888,2128.3499999999985,PE,53.9,78.05763888888889,0.0560919351843121,0.1919458903922856,1.4513419213552647,1.3625772619069685,-0.07246780514220073,8.54485e-05,-1.4344,11.5272,-292.4749064212354,-0.0097607961,-0.434,118.7612
NIFTY,2023-01-10 14:07:00,16100.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE16100.00,1089.0,-19,-1.7148014440433212,41,24.57,3.85,1.0,35.08771929824561,18650,5050,50,3.15,500,4.5,17911.5,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE16100.00,123.0,0,0.0,1,44.03,1955.9,-54.649999999999864,-2.7181616970480644,6500,5050,1500,1830.1,50,1884.45,17914.25,17984.95,0.110716,1884.9500000000007,PE,3.85,15.057638888888889,0.09391822071254033,0.2451059675877059,2.2488395980059015,2.1990560446341014,-0.012213937027326996,3.54045e-05,-0.9461,1.158,-9.220947472996569,-0.0028440388,-0.8437,23.3634
NIFTY,2023-01-10 14:07:00,16200.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE16200.00,2434.0,24,0.995850622406639,651,24.24,5.0,0.9500000000000002,23.456790123456795,23950,10850,50,4.5,50,4.95,17911.5,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE16200.00,173.0,0,0.0,8,0.0,1760.0,-206.0,-10.478128179043743,5550,5500,450,1752.05,700,1786.55,17914.25,17984.95,0.104524,1784.9500000000007,PE,5.0,15.057638888888889,0.09391822071254033,0.2418345601588759,2.1525313913772295,2.1034122946399902,-0.015617137093388175,4.43547e-05,-1.1539,1.4313,-11.793273958601123,-0.0034080447,-0.9975,26.7976
